Ticket,Nombre comun,Dia,Mes,Ano,,Evento,Ciudad,Vereda,Arboles,Hectareas
2438,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,Montañita,11,0.022
1955,"Matarratón, Leucaena, Balso, Nogal Cafetero",12,23,2021,,Convenio Interadministrativo 040-COV2106-29,Yalí,Montañita,11,0.022
2439,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,Montañita,11,0.022
2440,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,Montebello,11,0.022
2451,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,Montebello,11,0.022
2453,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,San Mauricio,11,0.022
2463,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,San Mauricio,11,0.022
2462,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,San Mauricio,11,0.022
1953,"Matarratón, Leucaena, Balso, Nogal Cafetero",12,7,2021,,Convenio interadministrativo 040-COV2106-29,Yalí,San Pedrito,11,0.022
1951,Matarratón,12,7,2021,,Convenio Interadministrativo 040-COV2106-29,Yalí,San Pedrito,11,0.022
2391,"Matarratón, Leucaena, Balso, Nogal Cafetero",1,1,2022,,Convenio Interadministrativo 040-COV2106-29,Yalí,San Pedrito,11,0.022
1817,"Matarratón, Leucaena, Balso, Gualanday, Nogal Cafetero",3,9,2022,,Convenio Interadministrativo 040-COV2111-139,Yalí,San Pedrito,30,0.06
1954,"Matarratón, Leucaena, Balso, Nogal Cafetero",12,7,2021,,Convenio Interadministrativo 040-COV2106-29,Yalí,San Pedrito,11,0.022
1819,"Matarratón, Leucaena, Balso, Gualanday, Nogal Cafetero",3,9,2022,,Convenio interadministrativo 040-COV2111-139,Yalí,Villanita,30,0.06
1820,"Guayacan Amarillo, Matarratón, Guadua, Nogal Cafetero",4,1,2022,,Convenio interadministrativo 040-COV2111-139,Yalí,Villanita,100,0.2
373,"Quimulá, Cedro de Altura, Chaquiro Real, Espadero, Cheflera Mano de Oso, Simplocus, Urapan, Chagualo",11,16,2020,,"siembra vida, no violencia (eliminación de la Violencia en contra de las mujeres)",Yarumal,Cabecera Municipal,520,1.04
700,"Quimulá, Yarumo Negro, Chocho Rojo, Alcaparro Criollo, Chagualo",6,5,2020,,sembratos yarumal,Yarumal,Cabecera Municipal,172,0.344
704,"Quimulá, Cedro de Altura, Algarrobillo, Alcaparro Criollo, Pino Colombiano Romeron, Espadero, Chagualo, Roble",6,10,2020,,SEMBRATON YARUMAL,Yarumal,Cabecera Municipal,712,1.424
708,"CACAO, CASEARA VARABLANCA, CHICALA, FRANCESINO, grosello, MULA MUERTA, NEEM, Quimulá, Guayacán Amarillo, Arrayán, Suribio, Alcaparro Enano, Barcino, Chocho, Chocho Rojo, Guamo Liso, Jazmin de Noche, Laurel 1, Mestizo, Ojo de Pava, Balso, Chagualo, Chirlobirlo, Aguacatillo, Nogal Cafetero, Roble",9,19,2020,,SEMBRATON YARUMAL,Yarumal,Cabecera Municipal,1000,2
211,"Quimulá, Espadero Colorado, Aliso, Chagualo",10,29,2020,,RESTAURACION Y PROTECCION,Yarumal,Cabecera Municipal,200,0.4
1335,"Urapan, Chachafruto",8,5,2021,,Siembra predio Vereda Cañaveral Yarumal,Yarumal,Cañaveral,100,0.2
1334,"Balso, Guayacan Amarillo, Piñón de Oreja, Tambor, Balso",10,24,2021,,Sembratón Cedeño,Yarumal,Cedeño,100,0.2
105,"Quimulá, Urapan, Espadero, Gallinazo, Aliso, Chagualo",7,27,2020,,siembra,Yarumal,Chorros Blancos,120,0.24
106,"Quimulá, Cedro de Altura, Camargo, Urapan, Escobo 1, Aliso, Chagualo, Roble",7,16,2020,,siembra,Yarumal,Chorros Blancos,110,0.22
102,"urapa, aguaca, Quimulá, Arrayan Eugenio, Guamo Churimo, Chagualo",6,23,2020,,siembray,Yarumal,Chorros Blancos Arriba,260,0.52
104,"Arrayán, Urapan, Camargo, Gallinazo, Arrayan de Hoja Pequeña, Cedro Negro, Arrayan Eugenio, Alcaparro Criollo, Sauco de Monte, Aliso",6,25,2020,,siembra,Yarumal,Chorros Blancos Arriba,300,0.6
99,"Quimulá, Arrayán, Urapan, Espadero, Camargo, Aliso, Aguacatillo",7,25,2020,,protección de cuencas,Yarumal,Jose Maria Cordoba,200,0.4
101,"Camargo, Urapan, Cacho de Venado, Magnolio Gallinazo, Aliso, Chagualo",6,15,2020,,siembra,Yarumal,Jose Maria Cordoba,120,0.24
98,"Quimulá, Cedro de Altura, Urapan, Magnolio Gallinazo Blanco, Camargo, Cedro Negro, Alcaparro Enano, Cheflera Mano de Oso, Arrayan de Hoja Pequeña, Aliso",7,15,2020,,Sembraton Minera la bramadora,Yarumal,La Bramadora,1000,2
1518,Eugenio,12,20,2021,,Siembra relacionada al 110-CNT2011-155,Yarumal,La Estrella,258,0.516
625,"Quimulá, Cedro de Altura",10,29,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,100,0.2
1850,"Quimulá, Arrayán de hoja ancha, Arrayán Guayabo, Ceiba rosada, Alcaparrito, Escobo, Nadador, Sauco Medicinal, Chachafruto",10,12,2021,,Obligación Contractual,Yarumal,Llanos de Cuiva,1000,2
636,"CARRANTE ROJO, Cedro de Altura, Pino Colombiano Romeron, Espadero, Nadador, Canelo de Paramo, Guayabo Negro, Camargo, Cheflera Mano de Oso, Cedro Negro, Alcaparro Enano, Arboloco, Urapan, Chagualo",3,23,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,630,1.26
129,Quimulá,2,28,2020,,sembraton,Yarumal,Llanos de Cuiva,1000,2
635,"Quimulá, Guayacán Amarillo, Cedro de Altura, Laurel 1, Amarraboyo, Arrayan de Hoja Ancha, Holly, Chagualo, Chirlobirlo, Aguacatillo",6,27,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,160,0.32
606,"olivo de cera, Quimulá, Arrayán, Chagualo",2,28,2020,,siembra,Yarumal,Llanos de Cuiva,50,0.1
615,"Quimulá, Cedro de Altura, Urapan, Chirlobirlo, Aguacatillo",9,15,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,200,0.4
610,Sauce,9,12,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,1206,2.412
614,"CHICALA AZUL, Quimulá, Cedro de Altura, Alcaparro Enano, Abarco, Arrayan de Hoja Ancha, Cabo de Hacha, Chocho, Urapan, Aliso, Chagualo, Chirlobirlo",8,18,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,2378,4.756
616,"Quimulá, Cedro de Altura, Arrayan de Hoja Ancha, Urapan, Alcaparro Enano",8,22,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,117,0.234
630,"Quimulá, Cedro de Altura, Arrayán, Holly, Laurel 1, Yarumo Blanco, Urapan, Chagualo, Aguacatillo",9,5,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,1130,2.26
617,"Quimulá, Cedro de Altura, Arrayán, Alcaparro Enano, Chirlobirlo",8,21,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,190,0.38
629,"Quimulá, Cedro de Altura, Laurel 1",9,18,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,445,0.89
633,"Quimulá, Cedro de Altura, Urapan, Chirlobirlo, Aguacatillo",9,15,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,200,0.4
612,"Guayacan, ARB0L LOCO, Quimulá, Cedro de Altura, Amarrabollo Real, Navajuelo, Arrayan de Hoja Ancha, Holly, Drago, Chagualo, Chirlobirlo, Aguacatillo",6,5,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,74,0.148
622,"Quimulá, Cedro de Altura, Chagualo",10,3,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,1670,3.34
607,"quimula, Arrayan de Hoja Ancha, Sauco de Monte, Chagualo",3,9,2020,,siembra,Yarumal,Llanos de Cuiva,120,0.24
609,"Quimulá, Cedro de Altura",8,30,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,100,0.2
611,"Guayacán Amarillo, Arrayan de Hoja Ancha, Urapan, Arboloco, Drago, Chagualo, Chirlobirlo, Aguacatillo",6,8,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,697,1.394
632,"Quimulá, Sauce",9,12,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,1206,2.412
631,"laurel, Quimulá, Cedro de Altura, Arrayan de Hoja Ancha, Chagualo",9,5,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,450,0.9
128,Quimulá,2,28,2020,,sembraton,Yarumal,Llanos de Cuiva,1000,2
608,"Quimulá, Cedro de Altura, Amarraboyo, Navajuelo, Arrayan de Hoja Ancha, Chagualo, Chirlobirlo, Aguacatillo",6,6,2020,,siembra,Yarumal,Llanos de Cuiva,158,0.316
618,"Quimulá, Cedro de Altura, Arrayan de Hoja Ancha, Urapan, Alcaparro Enano",8,29,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,113,0.226
619,"Quimulá, Cedro de Altura, Arrayan de Hoja Ancha, Alcaparro Enano",8,28,2020,,SIEMBRA,Yarumal,Llanos de Cuiva,780,1.56
